MealID,MealName,Description
1,Grilled Veggie Wrap,A wrap filled with grilled vegetables and hummus
2,Quinoa Salad,A fresh quinoa salad with mixed greens and lemon dressing
3,Chicken Salad,Grilled chicken served over a bed of mixed greens
4,Tomato Basil Pasta,Pasta with fresh tomatoes and basil with no dairy
5,Coconut Curry,A spicy coconut-based curry with vegetables
6,Turkey Sandwich,Sliced turkey breast with lettuce and tomato with no nuts
7,Zucchini Noodles,Zucchini noodles with garlic and olive oil sauce
8,Grilled Salmon,Grilled salmon with a side of steamed broccoli
9,Rice Bowl,A rice bowl with vegetables and grilled chicken
10,Avocado Bacon Salad,Avocado salad with bacon and mixed greens
11,Shrimp Stir-Fry, Shrimp stir-fried with vegetables and soy sauce
12,Beef Stir-Fry,Beef stir-fried with vegetables with no eggs
13,Roasted Chicken,Roasted chicken with herbs with no sugar
14,Cauliflower Rice Bowl,Cauliflower rice with vegetables and chicken
15,Lemon Herb Chicken,Chicken cooked with lemon and herbs with no soy
16,Turkey Meatballs,Turkey meatballs with marinara sauce
17,Baked Fish,Baked fish with herbs and a side of steamed vegetables
18,Beef Tacos,Beef tacos with lettuce  tomato and cheese
19,Steamed Vegetables,A variety of steamed vegetables with a light sauce
20,Lentil Soup,Hearty lentil soup with vegetables
21,Corn Tortilla Tacos,Tacos with corn tortillas
22,Fresh Fruit Salad,A mix of fresh raw fruits
23,Organic Chicken Breast,Grilled organic chicken breast with a side of greens
24,Vegan Tofu Stir-Fry,Tofu stir-fried with vegetables with no dairy
25,Greek Salad,Salad with tomatoes with cucumbers and feta cheese
26,Mixed Grill,A combination of grilled meats and vegetables
27,Grilled Chicken Sandwich,Chicken sandwich with lettuce and tomato with no peanut
28,Vegetable Soup,Low-calorie vegetable soup with a light broth
29,Roasted Turkey,Roasted turkey with a side of steamed vegetables
30,Veggie Pasta,Pasta with a variety of vegetables
31,Turmeric Chicken,Chicken cooked with turmeric and spices
32,Herb-Crusted Salmon,Salmon with a herb crust with no soy
33,Grilled Pork Chops,Pork chops with a side of low-FODMAP vegetables
34,Vegetable Stir-Fry,Stir-fried vegetables
35,Quinoa and Veggies,Quinoa mixed with a variety of vegetables
36,Grilled Chicken and Veggies,Grilled chicken with a side of steamed vegetables
37,Rice Pasta,Pasta made from rice flour with a light tomato sauce
38,Grilled Tuna,Tuna steak with a side of vegetables
39,Avocado Salad,Salad with avocado
40,Steamed Fish,Steamed fish with a side of vegetables
41,Dairy-Free Smoothie,Smoothie made with almond milk and fruits
42,Lentil Dahl,Traditional lentil dahl with spices
43,Buckwheat Pancakes,Pancakes made from buckwheat flour
44,Vegetable Curry,Curry with a variety of vegetables and spices
45,Chicken and Veggies,Grilled chicken with a side of mixed vegetables
46,Vegetable Wrap,Wrap with a variety of fresh vegetables
47,Bean Salad,Mixed bean salad with a light dressing
48,Grilled Fish,Grilled fish with a side of vegetables
49,Gluten-Free Pasta,Pasta made from gluten-free ingredients
50, Spaghetti Squash Pasta, Spaghetti squash with marinara sauce
51, Black Bean Burger, A vegan burger made from black beans and spices
52, Grilled Chicken Salad, Grilled chicken over mixed greens with no nuts
53, Cauliflower Pizza, Pizza with a cauliflower crust and vegetable toppings
54, Grilled Tofu, Grilled tofu with a side of vegetables with no dairy
55, Beef and Broccoli, Stir-fried beef with broccoli in a light sauce
56, Egg Muffins, Egg muffins with spinach and cheese
57, Vegetable Stir-Fry, Stir-fried vegetables with a soy sauce glaze
58, Chicken and Zucchini, Grilled chicken with zucchini noodles
59, Baked Cod, Baked cod with lemon and herbs
60, Quinoa Stuffed Peppers, Peppers stuffed with quinoa and vegetables
61, Lemon Herb Salmon, Grilled salmon with lemon and herbs
62, Hummus and Veggies, Hummus served with fresh vegetables for dipping
63, Herb Grilled Chicken, Chicken grilled with a variety of herbs with  no soy
64, Beef and Bean Chili, Chili made with ground beef and beans
65, Tofu Scramble, Scrambled tofu with vegetables
66, Chicken Fajitas, Chicken fajitas with peppers and onions with  no cheese
67, Veggie Tacos, Tacos filled with a variety of fresh vegetables
68, Turkey and Veggie Wrap, Wrap with turkey and vegetables with  no peanuts
69, Sweet Potato Fries, Baked sweet potato fries
70, Lentil Stew, A hearty lentil stew with  no egg
71, Chickpea Salad, Salad with chickpeas with  vegetables and a light dressing
72, Baked Chicken, Chicken baked with herbs and a side of steamed vegetables
73, Vegetable Soup, A variety of fresh vegetables in a light broth with  no nuts
74, Grilled Turkey, Grilled turkey breast with a side of vegetables
75, Rice and Bean Burrito, Burrito made with a rice tortilla with  beans and vegetables
